team_name,ppg,to_pg,ld_cr,rz_apg,rz_cr,dppg,ta_pg,dld_cr,drz_apg,drz_cr
New Orleans Saints,27.0,0.5714285714285714,0.430939226519337,3.642857142857143,0.5490196078431373,21.642857142857142,1.3571428571428572,0.35960591133004927,3.0714285714285716,0.6046511627906976
Pittsburgh Steelers,19.214285714285715,1.8571428571428572,0.33516483516483514,2.642857142857143,0.35135135135135137,18.5,2.5,0.37244897959183676,3.0,0.5238095238095238
New England Patriots,26.571428571428573,0.8571428571428571,0.3778801843317972,3.7857142857142856,0.49056603773584906,12.928571428571429,2.5714285714285716,0.24607329842931938,1.5714285714285714,0.5
Tampa Bay Buccaneers,29.714285714285715,2.357142857142857,0.4251207729468599,3.5714285714285716,0.64,28.428571428571427,1.7857142857142858,0.3588516746411483,3.642857142857143,0.5686274509803921
Philadelphia Eagles,23.857142857142858,1.6428571428571428,0.45701357466063347,3.357142857142857,0.6595744680851063,23.428571428571427,1.2142857142857142,0.37433155080213903,2.7857142857142856,0.6153846153846154
Atlanta Falcons,23.5,1.5714285714285714,0.4381443298969072,3.5714285714285716,0.56,26.071428571428573,1.1428571428571428,0.43548387096774194,3.5,0.6122448979591837
Cleveland Browns,21.214285714285715,1.7142857142857142,0.37433155080213903,3.2857142857142856,0.5652173913043478,23.5,1.2857142857142858,0.34408602150537637,3.4285714285714284,0.5833333333333334
Cincinnati Bengals,15.071428571428571,2.0,0.3615023474178404,2.857142857142857,0.375,25.642857142857142,0.8571428571428571,0.43915343915343913,3.142857142857143,0.45454545454545453
Los Angeles Chargers,21.357142857142858,2.0714285714285716,0.4530386740331492,3.2857142857142856,0.5,20.714285714285715,0.9285714285714286,0.4426229508196721,2.642857142857143,0.5675675675675675
Oakland Raiders,19.571428571428573,1.1428571428571428,0.45698924731182794,3.2857142857142856,0.5434782608695652,27.571428571428573,1.0,0.46368715083798884,3.642857142857143,0.6666666666666666
Buffalo Bills,20.785714285714285,1.1428571428571428,0.3793103448275862,2.7857142857142856,0.6153846153846154,15.857142857142858,1.5,0.3497536945812808,2.5714285714285716,0.5833333333333334
New York Giants,20.214285714285715,2.2142857142857144,0.37320574162679426,2.642857142857143,0.5675675675675675,27.285714285714285,1.1428571428571428,0.40703517587939697,3.2142857142857144,0.5111111111111111
Detroit Lions,21.714285714285715,1.5714285714285714,0.4182692307692308,2.7142857142857144,0.5789473684210527,26.642857142857142,1.2142857142857142,0.4381443298969072,3.5714285714285716,0.62
Los Angeles Rams,23.714285714285715,1.6428571428571428,0.37037037037037035,3.7142857142857144,0.5961538461538461,21.857142857142858,1.2142857142857142,0.4099099099099099,3.142857142857143,0.6363636363636364
Carolina Panthers,23.142857142857142,2.0714285714285716,0.3384615384615385,3.142857142857143,0.6363636363636364,27.857142857142858,1.5,0.4157303370786517,4.0,0.625
San Francisco 49ers,29.928571428571427,1.5,0.4587628865979381,3.857142857142857,0.5185185185185185,18.428571428571427,1.8571428571428572,0.31016042780748665,2.357142857142857,0.5454545454545454
Indianapolis Colts,21.642857142857142,1.3571428571428572,0.44390243902439025,3.4285714285714284,0.6458333333333334,23.5,1.3571428571428572,0.41935483870967744,3.0,0.5476190476190477
Seattle Seahawks,26.5,1.3571428571428572,0.41304347826086957,3.857142857142857,0.6296296296296297,24.642857142857142,2.2857142857142856,0.3930635838150289,3.357142857142857,0.6170212765957447
Arizona Cardinals,22.142857142857142,0.9285714285714286,0.38219895287958117,3.4285714285714284,0.4375,28.428571428571427,1.1428571428571428,0.4642857142857143,4.0,0.5714285714285714
Houston Texans,24.357142857142858,1.3571428571428572,0.46524064171123,3.357142857142857,0.6595744680851063,23.571428571428573,1.2142857142857142,0.4789473684210526,3.142857142857143,0.6818181818181818
Tennessee Titans,24.214285714285715,1.1428571428571428,0.3657142857142857,2.9285714285714284,0.7317073170731707,19.928571428571427,1.5714285714285714,0.375,3.0,0.6428571428571429
Jacksonville Jaguars,17.857142857142858,1.2857142857142858,0.3427230046948357,2.857142857142857,0.4,25.214285714285715,1.0714285714285714,0.41714285714285715,3.4285714285714284,0.5625
Chicago Bears,18.285714285714285,1.2857142857142858,0.3480392156862745,2.857142857142857,0.575,18.071428571428573,1.1428571428571428,0.37264150943396224,3.142857142857143,0.5681818181818182
Washington Redskins,15.357142857142858,1.3571428571428572,0.29878048780487804,2.2857142857142856,0.4375,24.785714285714285,1.5,0.49074074074074076,3.7857142857142856,0.5849056603773585
Miami Dolphins,17.214285714285715,1.7857142857142858,0.35436893203883496,2.7857142857142856,0.5384615384615384,31.071428571428573,0.9285714285714286,0.4463276836158192,3.7857142857142856,0.6226415094339622
New York Jets,17.642857142857142,1.6428571428571428,0.30845771144278605,2.0714285714285716,0.5862068965517241,24.5,1.1428571428571428,0.40384615384615385,3.2142857142857144,0.5777777777777777
Baltimore Ravens,33.714285714285715,0.8571428571428571,0.4972375690607735,4.071428571428571,0.6842105263157895,18.357142857142858,1.5714285714285714,0.37433155080213903,2.857142857142857,0.45
Kansas City Chiefs,28.142857142857142,1.0,0.4659090909090909,3.2142857142857144,0.5111111111111111,20.285714285714285,1.5,0.38190954773869346,3.7142857142857144,0.5
Denver Broncos,17.071428571428573,1.0714285714285714,0.34196891191709844,2.5714285714285716,0.4722222222222222,20.285714285714285,1.1428571428571428,0.39195979899497485,2.7857142857142856,0.41025641025641024
Green Bay Packers,23.571428571428573,0.6428571428571429,0.35911602209944754,3.2142857142857144,0.6888888888888889,20.214285714285715,1.6428571428571428,0.40540540540540543,3.2142857142857144,0.4888888888888889
Minnesota Vikings,27.0,1.1428571428571428,0.453551912568306,3.5714285714285716,0.66,18.5,1.9285714285714286,0.41706161137440756,2.857142857142857,0.475
Dallas Cowboys,27.0,1.1428571428571428,0.4787234042553192,3.5,0.5918367346938775,20.571428571428573,1.0714285714285714,0.3626943005181347,3.5714285714285716,0.52
